NumModels,ClusterSize,ProtoI,ProtoII-DesignII,ProtoII-DesignI,ND,Speed-up1,Speed-up2D2,Speed-up2D1,Efficiency1,Efficiency2-D2,Efficiency2-D1
10,3,1130.514,1014.9828,1832.356,4790.198,4.237185917,4.719486872,2.614228894,1.412395306,1.573162291,0.871409631
10,4,917.459,702.2442,970.0352,4790.198,5.221157567,6.821271005,4.938169254,1.305289392,1.705317751,1.234542314
10,5,675.9754,488.2102,1367.564,4790.198,7.086349592,9.811753216,3.50272309,1.417269918,1.962350643,0.700544618
10,6,555.8746,416.2974,1166.458,4790.198,8.617407595,11.50667287,4.106618498,1.436234599,1.917778812,0.684436416
