NumModels,ProtoI,ProtoII,ND,Speed-up1,Speed-up2,Efficiency-ProtoI,Efficiency-ProtoII
2,184.25,94.52152,243.94,1.323962008,2.580787952,0.441320669,0.860262651
4,315.342,181.9578,635.524,2.015348415,3.492699956,0.671782805,1.164233319
6,563.3,357.616,1171.32,2.079389313,3.275356807,0.693129771,1.091785602
8,685.21,492.6532,1890.706,2.759308825,3.837803144,0.919769608,1.279267715
10,988.708,792.6886,4793.47,4.848216056,6.047103491,1.616072019,2.015701164
