NumModels,DesignII,DesignI,Speedup2,Speedup1,eff2,eff1
2,102.5524,135.49,3.484609,2.637501,1.161536,0.879167
4,245.0836,345.342,3.756131,2.665665,1.252044,0.888555
6,440.416,594.3004,3.74913,2.778354,1.24971,0.926118
8,708.706,1534.654,5.745062,2.65308,1.915021,0.88436
10,1014.983,1832.356,4.719487,2.614229,1.573162,0.87141
